WARREN,TIME,TREATMENT,Slow approach,Vigilance,Foraging
RW11,6,Cat,0.6787,0,0
RW12,6,Cat,0.5123,0,0.1313
RW16,6,Cat,0.1226,0.028,0.4634
RW20,6,Cat,0.176,0,0.248
RW22 ,6,Cat,0.333,0,0.4807
RW26,6,Cat,0.1494,0.1736,0.533
RW27,6,Cat,0.1825,0.0846,0.6352
RW28 ,6,Cat,0,0.416,0.5746
RW29 ,6,Cat,0.0763,0,0
RW30,6,Cat,0,0,0
RW33,6,Cat,0.0435,0.0576,0.7923
RW40,6,Cat,0.2712,0,0.257
RW42,6,Cat,0.126,0,0
RW46,6,Cat,0,0.0548,0.93
FW11 ,6,Control,0.0629,0.6297,0.2344
FW5 ,6,Control,0.1054,0.1704,0.7169
FW7 ,6,Control,0.2482,0,0
RW25,6,Control,0.1767,0,0.7347
W200,6,Control,0.3021,0,0
W201,6,Control,0,0.2064,0.7793
RW11,12,Cat,0,0.6105,0.3765
RW22 ,12,Cat,0,0.2758,0.6002
RW27,12,Cat,0,0.2775,0.6749
RW28 ,12,Cat,0.0437,0.2602,0.4534
RW36,12,Cat,0.2724,0,0
RW36,12,Cat,0.1651,0,0.0212
RW40,12,Cat,0,0.3619,0.5014
RW40,12,Cat,0.1626,0,0.0507
RW51,12,Cat,0.1563,0,0
RW77,12,Cat,0.159,0,0
RW77,12,Cat,0,0.0858,0.4067
RW78,12,Cat,0.091,0.1825,0.5772
RW79,12,Cat,0.0846,0.2191,0.3363
RW79,12,Cat,0.0824,0,0.8059
RW80,12,Cat,0.107,0,0
RW80,12,Cat,0.1077,0,0
RW81,12,Cat,0.1944,0.0136,0.2123
FW11 ,12,Control,0,0.2013,0.326
FW5 ,12,Control,0.0465,0.3203,0.3687
FW7 ,12,Control,0.0234,0.0363,0.026
FW5 ,12,Control,0.0554,0,0.1646
W200,12,Control,0.0655,0,0
W209,12,Control,0.0833,0.1018,0.5029
W42,12,Control,0.0538,0.1986,0.1937
FW5 ,18,Control,0,0,0
FW7 ,18,Control,0,0.0342,0.8552
FW11 ,18,Control,0,0,0.2099
W42,18,Control,0,0,0
W209,18,Control,0,0.2297,0.6682
W218,18,Control,0.0832,0.1113,0.2869
RW2,18,Cat,0.16,0,0
RW11,18,Cat,0.1394,0,0
RW22 ,18,Cat,0.1526,0.1458,0.6932
RW27 ,18,Cat,0,0.2831,0.7028
RW27,18,Cat,0.0314,0.485,0.3959
RW28 ,18,Cat,0.3166,0.1113,0.3893
RW29 ,18,Cat,0.2841,0.1002,0.3199
RW43,18,Cat,0,0.2373,0.7467
RW76,18,Cat,0.1236,0.1056,0.2838

