The min for the dataset in columns (3, 4) is:
Slow approach    0.0
Vigilance        0.0
dtype: float64.
Here is the dataset:
    Slow approach  Vigilance
0          0.6787     0.0000
1          0.5123     0.0000
2          0.1226     0.0280
3          0.1760     0.0000
4          0.3330     0.0000
5          0.1494     0.1736
6          0.1825     0.0846
7          0.0000     0.4160
8          0.0763     0.0000
9          0.0000     0.0000
10         0.0435     0.0576
11         0.2712     0.0000
12         0.1260     0.0000
13         0.0000     0.0548
14         0.0629     0.6297
15         0.1054     0.1704
16         0.2482     0.0000
17         0.1767     0.0000
18         0.3021     0.0000
19         0.0000     0.2064
20         0.0000     0.6105
21         0.0000     0.2758
22         0.0000     0.2775
23         0.0437     0.2602
24         0.2724     0.0000
25         0.1651     0.0000
26         0.0000     0.3619
27         0.1626     0.0000
28         0.1563     0.0000
29         0.1590     0.0000
30         0.0000     0.0858
31         0.0910     0.1825
32         0.0846     0.2191
33         0.0824     0.0000
34         0.1070     0.0000
35         0.1077     0.0000
36         0.1944     0.0136
37         0.0000     0.2013
38         0.0465     0.3203
39         0.0234     0.0363
40         0.0554     0.0000
41         0.0655     0.0000
42         0.0833     0.1018
43         0.0538     0.1986
44         0.0000     0.0000
45         0.0000     0.0342
46         0.0000     0.0000
47         0.0000     0.0000
48         0.0000     0.2297
49         0.0832     0.1113
50         0.1600     0.0000
51         0.1394     0.0000
52         0.1526     0.1458
53         0.0000     0.2831
54         0.0314     0.4850
55         0.3166     0.1113
56         0.2841     0.1002
57         0.0000     0.2373
58         0.1236     0.1056
