ID,TREATMENT,TIME,BACI FID,SEX
233,Cat,6,7,F
917,Control,6,-4,F
917,Control,12,-5,F
917,Control,18,7,F
2011,Control,6,-22,M
2011,Control,12,-35,M
2394,Cat,6,-10,F
2615,Control,6,-20,F
2615,Control,12,-35,F
2615,Control,18,-26,F
2618,Cat,6,22,F
2618,Cat,12,30,F
2618,Cat,18,30,F
2619,Cat,12,-29,F
2619,Cat,18,0,F
2622,Cat,6,15,M
2622,Cat,12,35,M
2622,Cat,18,17,M
2653,Cat,6,7,F
2654,Cat,6,-29,M
2655,Cat,6,8,F
2655,Cat,12,11,F
2655,Cat,18,29,F
2659,Cat,6,-4,M
2659,Cat,12,34,M
2662,Control,6,7,M
2662,Control,18,4,M
2668,Control,6,27,M
2668,Control,12,-1,M
2829,Control,6,0,M
2829,Control,12,0,M
2829,Control,18,3,M
3000,Cat,6,4,M
3000,Cat,12,5,M
3000,Cat,18,26,M
3021,Cat,6,-30,M
3021,Cat,12,0,M
3024,Cat,6,-23,F
3024,Cat,12,-25,F
3026,Control,6,11,F
3026,Control,18,4,F
3028,Cat,6,30,M
3028,Cat,12,0,M
3033,Cat,6,15,M
3037,Cat,6,1,F
3037,Cat,12,12,F
3037,Cat,18,13,F
3045,Cat,6,-15,F
3046,Control,6,6,M
3046,Control,12,2,M
3046,Control,18,1,M
3267,Control,12,-25,M
3267,Control,18,-28,M
3274,Cat,6,6,M
3274,Cat,18,-2,M
